
> frontend@0.1.0 dev
> next dev

▲ Next.js 16.2.2 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.4:3000
✓ Ready in 610ms

 GET /app 200 in 433ms (next.js: 247ms, application-code: 186ms)
 GET / 200 in 195ms (next.js: 37ms, application-code: 158ms)
 GET /app 200 in 71ms (next.js: 6ms, application-code: 65ms)
 GET /app 200 in 53ms (next.js: 4ms, application-code: 49ms)
 GET / 200 in 92ms (next.js: 4ms, application-code: 88ms)
 GET /app 200 in 48ms (next.js: 4ms, application-code: 44ms)
 GET / 200 in 82ms (next.js: 4ms, application-code: 78ms)
 GET /app 200 in 60ms (next.js: 5ms, application-code: 55ms)
 GET / 200 in 92ms (next.js: 5ms, application-code: 86ms)
 GET / 200 in 81ms (next.js: 5ms, application-code: 77ms)
 GET / 200 in 93ms (next.js: 5ms, application-code: 87ms)
✓ Compiled in 566ms
 GET / 200 in 77ms (next.js: 5ms, application-code: 72ms)
 GET / 200 in 83ms (next.js: 4ms, application-code: 79ms)
 GET / 200 in 75ms (next.js: 4ms, application-code: 71ms)
 GET / 200 in 84ms (next.js: 5ms, application-code: 79ms)
 GET / 200 in 72ms (next.js: 4ms, application-code: 69ms)
 GET / 200 in 65ms (next.js: 4ms, application-code: 61ms)
✓ Compiled in 52ms
 GET / 200 in 92ms (next.js: 5ms, application-code: 87ms)
 GET / 200 in 68ms (next.js: 4ms, application-code: 64ms)
 GET / 200 in 68ms (next.js: 3ms, application-code: 65ms)
 GET / 200 in 81ms (next.js: 3ms, application-code: 78ms)
 GET / 200 in 76ms (next.js: 3ms, application-code: 72ms)
 GET / 200 in 67ms (next.js: 3ms, application-code: 64ms)
 GET / 200 in 92ms (next.js: 3ms, application-code: 89ms)
 GET / 200 in 69ms (next.js: 4ms, application-code: 65ms)
 GET / 200 in 66ms (next.js: 5ms, application-code: 61ms)
 GET / 200 in 84ms (next.js: 4ms, application-code: 79ms)
 GET / 200 in 77ms (next.js: 4ms, application-code: 73ms)
 GET / 200 in 78ms (next.js: 3ms, application-code: 75ms)
 GET / 200 in 63ms (next.js: 2ms, application-code: 61ms)
 GET / 200 in 80ms (next.js: 5ms, application-code: 75ms)
 GET / 200 in 64ms (next.js: 3ms, application-code: 61ms)
 GET / 200 in 70ms (next.js: 4ms, application-code: 66ms)
 GET / 200 in 80ms (next.js: 5ms, application-code: 75ms)
 GET / 200 in 63ms (next.js: 3ms, application-code: 60ms)
 GET / 200 in 79ms (next.js: 4ms, application-code: 75ms)
 GET / 200 in 67ms (next.js: 3ms, application-code: 63ms)
 GET / 200 in 67ms (next.js: 4ms, application-code: 63ms)
 GET / 200 in 69ms (next.js: 3ms, application-code: 66ms)
 GET / 200 in 75ms (next.js: 6ms, application-code: 70ms)
 GET / 200 in 84ms (next.js: 4ms, application-code: 79ms)
 GET / 200 in 79ms (next.js: 3ms, application-code: 76ms)
 GET / 200 in 85ms (next.js: 7ms, application-code: 78ms)
 GET / 200 in 71ms (next.js: 3ms, application-code: 67ms)
 GET / 200 in 62ms (next.js: 3ms, application-code: 58ms)
 GET / 200 in 88ms (next.js: 3ms, application-code: 85ms)
 GET / 200 in 86ms (next.js: 4ms, application-code: 82ms)
 GET / 200 in 62ms (next.js: 3ms, application-code: 58ms)
 GET / 200 in 74ms (next.js: 3ms, application-code: 71ms)
 GET / 200 in 94ms (next.js: 5ms, application-code: 90ms)
 GET / 200 in 73ms (next.js: 3ms, application-code: 70ms)
 GET / 200 in 59ms (next.js: 3ms, application-code: 56ms)
 GET / 200 in 77ms (next.js: 3ms, application-code: 74ms)
 GET / 200 in 88ms (next.js: 4ms, application-code: 83ms)
 GET / 200 in 75ms (next.js: 3ms, application-code: 71ms)
 GET / 200 in 82ms (next.js: 4ms, application-code: 79ms)
 GET / 200 in 73ms (next.js: 3ms, application-code: 69ms)
 GET / 200 in 89ms (next.js: 3ms, application-code: 86ms)
 GET / 200 in 77ms (next.js: 4ms, application-code: 73ms)
 GET / 200 in 76ms (next.js: 3ms, application-code: 73ms)
 GET / 200 in 84ms (next.js: 4ms, application-code: 80ms)
 GET / 200 in 83ms (next.js: 3ms, application-code: 79ms)
 GET / 200 in 79ms (next.js: 4ms, application-code: 75ms)
 GET / 200 in 65ms (next.js: 3ms, application-code: 62ms)
 GET / 200 in 56ms (next.js: 2ms, application-code: 54ms)
 GET / 200 in 73ms (next.js: 3ms, application-code: 70ms)
 GET / 200 in 87ms (next.js: 4ms, application-code: 84ms)
 GET / 200 in 107ms (next.js: 6ms, application-code: 100ms)
 GET / 200 in 66ms (next.js: 3ms, application-code: 63ms)
 GET / 200 in 82ms (next.js: 4ms, application-code: 78ms)
 GET / 200 in 65ms (next.js: 4ms, application-code: 62ms)
 GET / 200 in 56ms (next.js: 3ms, application-code: 53ms)
 GET / 200 in 62ms (next.js: 3ms, application-code: 59ms)
 GET / 200 in 76ms (next.js: 3ms, application-code: 73ms)
 GET / 200 in 68ms (next.js: 5ms, application-code: 63ms)
 GET / 200 in 66ms (next.js: 3ms, application-code: 63ms)
 GET / 200 in 69ms (next.js: 4ms, application-code: 65ms)
 GET / 200 in 84ms (next.js: 3ms, application-code: 81ms)
 GET / 200 in 75ms (next.js: 3ms, application-code: 72ms)
 GET / 200 in 72ms (next.js: 4ms, application-code: 68ms)
 GET / 200 in 62ms (next.js: 3ms, application-code: 59ms)
 GET / 200 in 79ms (next.js: 5ms, application-code: 74ms)
 GET / 200 in 68ms (next.js: 5ms, application-code: 63ms)
 GET / 200 in 87ms (next.js: 3ms, application-code: 84ms)
 GET / 200 in 78ms (next.js: 4ms, application-code: 74ms)
 GET / 200 in 62ms (next.js: 3ms, application-code: 59ms)
 GET / 200 in 78ms (next.js: 4ms, application-code: 74ms)
 GET / 200 in 74ms (next.js: 3ms, application-code: 71ms)
 GET / 200 in 74ms (next.js: 4ms, application-code: 70ms)
 GET / 200 in 62ms (next.js: 3ms, application-code: 58ms)
 GET / 200 in 93ms (next.js: 4ms, application-code: 89ms)
 GET / 200 in 77ms (next.js: 4ms, application-code: 73ms)
 GET / 200 in 70ms (next.js: 3ms, application-code: 67ms)
 GET / 200 in 78ms (next.js: 3ms, application-code: 75ms)
 GET / 200 in 67ms (next.js: 4ms, application-code: 63ms)
 GET / 200 in 82ms (next.js: 3ms, application-code: 79ms)
 GET / 200 in 79ms (next.js: 4ms, application-code: 74ms)
 GET / 200 in 80ms (next.js: 4ms, application-code: 76ms)
 GET / 200 in 72ms (next.js: 3ms, application-code: 69ms)
 GET / 200 in 82ms (next.js: 3ms, application-code: 79ms)
 GET / 200 in 83ms (next.js: 3ms, application-code: 80ms)
 GET / 200 in 83ms (next.js: 5ms, application-code: 79ms)
 GET / 200 in 81ms (next.js: 4ms, application-code: 77ms)
 GET / 200 in 63ms (next.js: 3ms, application-code: 60ms)
 GET / 200 in 75ms (next.js: 4ms, application-code: 71ms)
 GET / 200 in 82ms (next.js: 3ms, application-code: 79ms)
 GET / 200 in 78ms (next.js: 4ms, application-code: 74ms)
 GET / 200 in 60ms (next.js: 3ms, application-code: 57ms)
 GET / 200 in 72ms (next.js: 4ms, application-code: 68ms)
 GET / 200 in 62ms (next.js: 3ms, application-code: 59ms)
 GET / 200 in 74ms (next.js: 3ms, application-code: 71ms)
 GET / 200 in 111ms (next.js: 3ms, application-code: 108ms)
 GET / 200 in 70ms (next.js: 4ms, application-code: 67ms)
 GET / 200 in 60ms (next.js: 3ms, application-code: 57ms)
 GET / 200 in 55ms (next.js: 3ms, application-code: 52ms)
 GET / 200 in 69ms (next.js: 3ms, application-code: 66ms)
 GET / 200 in 69ms (next.js: 4ms, application-code: 65ms)
 GET / 200 in 80ms (next.js: 4ms, application-code: 77ms)
 GET / 200 in 69ms (next.js: 3ms, application-code: 66ms)
 GET / 200 in 68ms (next.js: 3ms, application-code: 65ms)
 GET / 200 in 82ms (next.js: 3ms, application-code: 79ms)
 GET / 200 in 74ms (next.js: 4ms, application-code: 70ms)
 GET / 200 in 88ms (next.js: 4ms, application-code: 84ms)
 GET / 200 in 64ms (next.js: 4ms, application-code: 60ms)
 GET / 200 in 60ms (next.js: 4ms, application-code: 56ms)
 GET / 200 in 66ms (next.js: 3ms, application-code: 64ms)
 GET / 200 in 57ms (next.js: 2ms, application-code: 54ms)
 GET / 200 in 76ms (next.js: 3ms, application-code: 73ms)
 GET / 200 in 81ms (next.js: 3ms, application-code: 78ms)
 GET / 200 in 82ms (next.js: 4ms, application-code: 79ms)
 GET / 200 in 77ms (next.js: 3ms, application-code: 74ms)
 GET / 200 in 75ms (next.js: 3ms, application-code: 72ms)
 GET / 200 in 78ms (next.js: 4ms, application-code: 74ms)
 GET / 200 in 83ms (next.js: 4ms, application-code: 79ms)
 GET / 200 in 93ms (next.js: 3ms, application-code: 90ms)
 GET / 200 in 71ms (next.js: 4ms, application-code: 68ms)
 GET / 200 in 78ms (next.js: 4ms, application-code: 74ms)
 GET / 200 in 62ms (next.js: 2ms, application-code: 60ms)
 GET / 200 in 71ms (next.js: 4ms, application-code: 66ms)
 GET / 200 in 78ms (next.js: 2ms, application-code: 76ms)
 GET / 200 in 73ms (next.js: 2ms, application-code: 70ms)
 GET / 200 in 66ms (next.js: 3ms, application-code: 63ms)
 GET / 200 in 77ms (next.js: 3ms, application-code: 74ms)
 GET / 200 in 78ms (next.js: 4ms, application-code: 74ms)
 GET / 200 in 64ms (next.js: 4ms, application-code: 61ms)
 GET / 200 in 62ms (next.js: 3ms, application-code: 59ms)
 GET / 200 in 72ms (next.js: 3ms, application-code: 69ms)
 GET / 200 in 87ms (next.js: 3ms, application-code: 84ms)
 GET / 200 in 77ms (next.js: 5ms, application-code: 73ms)
 GET / 200 in 68ms (next.js: 3ms, application-code: 64ms)
 GET / 200 in 85ms (next.js: 3ms, application-code: 82ms)
 GET / 200 in 71ms (next.js: 4ms, application-code: 67ms)
 GET / 200 in 61ms (next.js: 3ms, application-code: 58ms)
 GET / 200 in 126ms (next.js: 5ms, application-code: 122ms)
 GET / 200 in 79ms (next.js: 3ms, application-code: 75ms)
 GET / 200 in 73ms (next.js: 4ms, application-code: 69ms)
 GET / 200 in 76ms (next.js: 3ms, application-code: 73ms)
 GET / 200 in 60ms (next.js: 3ms, application-code: 57ms)
 GET / 200 in 79ms (next.js: 3ms, application-code: 76ms)
 GET / 200 in 75ms (next.js: 3ms, application-code: 71ms)
 GET / 200 in 87ms (next.js: 4ms, application-code: 83ms)
 GET / 200 in 78ms (next.js: 3ms, application-code: 75ms)
 GET / 200 in 65ms (next.js: 3ms, application-code: 62ms)
 GET / 200 in 59ms (next.js: 3ms, application-code: 56ms)
 GET / 200 in 81ms (next.js: 3ms, application-code: 78ms)
 GET / 200 in 76ms (next.js: 3ms, application-code: 73ms)
 GET / 200 in 67ms (next.js: 3ms, application-code: 65ms)
 GET / 200 in 85ms (next.js: 3ms, application-code: 82ms)
 GET / 200 in 61ms (next.js: 4ms, application-code: 57ms)
 GET / 200 in 75ms (next.js: 3ms, application-code: 71ms)
 GET / 200 in 85ms (next.js: 4ms, application-code: 81ms)
 GET / 200 in 61ms (next.js: 5ms, application-code: 56ms)
 GET / 200 in 75ms (next.js: 4ms, application-code: 71ms)
 GET / 200 in 81ms (next.js: 3ms, application-code: 78ms)
 GET / 200 in 85ms (next.js: 5ms, application-code: 80ms)
 GET / 200 in 77ms (next.js: 3ms, application-code: 73ms)
 GET / 200 in 82ms (next.js: 3ms, application-code: 78ms)
 GET / 200 in 80ms (next.js: 3ms, application-code: 77ms)
 GET / 200 in 67ms (next.js: 3ms, application-code: 64ms)
 GET / 200 in 79ms (next.js: 3ms, application-code: 76ms)
 GET / 200 in 81ms (next.js: 4ms, application-code: 77ms)
 GET / 200 in 72ms (next.js: 3ms, application-code: 69ms)
 GET / 200 in 86ms (next.js: 4ms, application-code: 82ms)
 GET / 200 in 75ms (next.js: 3ms, application-code: 72ms)
 GET / 200 in 76ms (next.js: 3ms, application-code: 73ms)
 GET / 200 in 72ms (next.js: 5ms, application-code: 67ms)
 GET / 200 in 64ms (next.js: 3ms, application-code: 61ms)
 GET / 200 in 83ms (next.js: 4ms, application-code: 80ms)
 GET / 200 in 74ms (next.js: 3ms, application-code: 70ms)
 GET / 200 in 73ms (next.js: 3ms, application-code: 70ms)
 GET / 200 in 75ms (next.js: 3ms, application-code: 71ms)
 GET / 200 in 75ms (next.js: 3ms, application-code: 71ms)
 GET / 200 in 74ms (next.js: 3ms, application-code: 71ms)
 GET / 200 in 70ms (next.js: 3ms, application-code: 67ms)
 GET / 200 in 82ms (next.js: 4ms, application-code: 78ms)
